,tlast,hh,vv,ll,qlast,vlast,qq,vv,a,,,,
AMPL-USDT,1643871600,1.33638,44241439.52,0.69,580955.7479,583867.377,41105894.82,44241439.52,0.929126522,,,,
ANKR-USDT,1643871600,0.1478,752019543,0.057,576851.3297,7460104.43,76558944.71,752019543,0.101804462,,,,
CVX-USDT,1643871600,28.8056,20173.87692,14,560642.2102,20173.87692,560642.2102,20173.87692,27.79050415,,,,
POLC-USDT,1643871600,1.821,148743835.1,0.2506,557131.509,1881062.525,111447284.7,148743835.1,0.749256496,,,,
HEART-USDT,1643871600,0.2676,552560024.1,0.015,556518.9783,3466986.826,93721518.2,552560024.1,0.16961328,,,,
FKX-USDT,1643871600,0.12265,491729480.5,0.04248,553311.2485,9741821.093,35204844.45,491729480.5,0.071593927,,,,
POL-USDT,1643871600,0.25422,270602842.8,0.07634,548517.6793,6628677.741,37358627.54,270602842.8,0.13805704,,,,
HBB-USDT,1643871600,2.4158,3734114.533,1,537007.5498,266269.5865,8160596.824,3734114.533,2.185416851,,,,
ZCX-USDT,1643871600,4.5006,25237836.79,1.0311,535429.7329,391686.0101,63620772.01,25237836.79,2.520848857,,,,
POND-USDT,1643871600,0.1045,707825981.7,0.0373,532735.856,12325896.85,42111447.71,707825981.7,0.059494069,,,,
FORESTPLUS-USDT,1643871600,0.030354,935542601.5,0.008976,529668.6902,45057953,15160060.63,935542601.5,0.016204565,,,,
COMB-USDT,1643871600,0.004266,5123900282,0.001298,528902.9511,290946926.8,12048417.22,5123900282,0.002351415,,,,
LINK3L-USDT,1643871600,5.2338,36120868.81,0.2487,513139.6768,1309081.153,42602013.29,36120868.81,1.179429363,,,,
DAO-USDT,1643871600,6.41052,15174409.15,2.14,511688.8478,225205.0676,64711780.42,15174409.15,4.264533781,,,,
WOM-USDT,1643871600,0.26024,90425818.64,0.088255,506688.5042,4470276.3,12383461.17,90425818.64,0.136946077,,,,
DAPPX-USDT,1643871600,0.04764,853648169.1,0.016,506283.1271,30291088.88,20882241.62,853648169.1,0.024462352,,,,
ACOIN-USDT,1643871600,0.675,62849086.83,0.31082,502607.0653,1127091.506,28356313.44,62849086.83,0.451180994,,,,
MNST-USDT,1643871600,0.17691,393155781,0.04189,498586.9304,10562932.89,32344052.89,393155781,0.082267779,,,,
BAT-USDT,1643871600,1.4442,76353966,0.651,497486.7412,604346.0221,86793002.17,76353966,1.136718978,,,,
ILV-USDT,1643871600,1661.539,43869.19081,496.482,494242.5519,826.7421935,42759400.5,43869.19081,974.7022845,,,,
RFUEL-USDT,1643871600,0.058217,215759276.7,0.028037,493578.0772,12794513.88,9000621.731,215759276.7,0.041716036,,,,
XYO-USDT,1643871600,0.0509,2320981586,0.01927,488237.3493,23721104.83,80498593.88,2320981586,0.034682995,,,,
NIF-USDT,1643871600,58.2549,3247232.418,11.5,482389.9114,35469.88554,114647684.7,3247232.418,35.30627623,,,,
RSR-USDT,1643871600,0.0521,3276540428,0.0164,481519.5038,26656391.18,100449553.5,3276540428,0.030657199,,,,
ELA-USDT,1643871600,7.4669,10634634.84,2.2613,478113.9153,105980.1511,46952217.74,10634634.84,4.415028674,,,,
DYP-USDT,1643871600,0.712,50299642.22,0.1933,473437.2428,1410494.761,20521035.94,50299642.22,0.407975783,,,,
VET3L-USDT,1643871600,0.115,4724839551,0.001525,467035.6163,185608016.2,44418605.34,4724839551,0.009401082,,,,
TLM-USDT,1643871600,0.391,546085557.9,0.0897,466903.9438,4273869.369,117360889.3,546085557.9,0.214913007,,,,
XRP3L-USDT,1643871600,0.718,215538678.3,0.0563,456502.8521,5761455.787,48587516.56,215538678.3,0.225423655,,,,
DMTR-USDT,1643871600,1.8206,10910572.44,0.446,455686.7526,927378.5312,6700823.863,10910572.44,0.614158781,,,,
LITH-USDT,1643871600,0.02998,612639097.4,0.00712,455476.0005,49587437.99,10025227.98,612639097.4,0.016364003,,,,
WAVES-USDT,1643871600,21.4077,3198190.062,7.5634,453231.5245,51506.80048,43367304.86,3198190.062,13.55995236,,,,
VET3S-USDT,1643871600,4.6602,27104873.67,0.5782,451162.1097,150054.2659,37885363.13,27104873.67,1.397732511,,,,
OPUL-USDT,1643871600,5.48521,20494383.23,0.72797,450038.2173,560276.1197,46838627.99,20494383.23,2.285437305,,,,
ERTHA-USDT,1643871600,0.3116,16763743.58,0.1753,448797.7298,2292535.457,4033280.573,16763743.58,0.240595459,,,,
LPOOL-USDT,1643871600,4.7059,6687194.228,1.3663,445337.5481,316404.344,16431900.54,6687194.228,2.457218975,,,,
SURV-USDT,1643871600,2.2822,27767719.18,0.01,438994.0278,3939825.737,11813218.72,27767719.18,0.425429926,,,,
KAI-USDT,1643871600,0.1115689,709871650.6,0.0366666,433619.8862,10176615.75,46873021.13,709871650.6,0.066030276,,,,
ROAR-USDT,1643871600,1.3215,23658335.81,0.25,433262.7697,1192533.374,18662877.57,23658335.81,0.788849973,,,,
NWC-USDT,1643871600,0.778196,54814939.42,0.197,433185.8599,1898862.453,22784103.69,54814939.42,0.415655001,,,,
ORN-USDT,1643871600,7.8364,7538293.552,3.0621,432571.4789,108672.9795,39878151.91,7538293.552,5.290076811,,,,
ACE-USDT,1643871600,0.11072,920334871.1,0.02692,426636.1185,13938881.27,52128360.11,920334871.1,0.056640644,,,,
ENS-USDT,1643871600,62.579,3773395.138,14.436,424951.1283,23063.94359,131925374.4,3773395.138,34.96198241,,,,
XTM-USDT,1643871600,1.88,128391496.5,0.20101,418775.108,1690360.357,97320151.71,128391496.5,0.757995306,,,,
CELO-USDT,1643871600,5.7993,20001447.42,2.8984,418000.179,136240.6054,85863415.97,20001447.42,4.29286012,,,,
BOSON-USDT,1643871600,2.7145,49604753.81,0.7174,413900.3473,496229.2035,74450710.33,49604753.81,1.500878537,,,,
LPT-USDT,1643871600,53.2098,1644959.706,20.4,400929.2221,14640.75293,64076637.31,1644959.706,38.95331726,,,,
SYLO-USDT,1643871600,0.00882,5759603495,0.00275,399063.0078,66719350.1,29127655.31,5759603495,0.005057233,,,,
RFOX-USDT,1643871600,0.23094,983221688,0.0505,393354.1287,6676006.996,113658978.8,983221688,0.115598527,,,,
MASK-USDT,1643871600,15.4807,6770146.863,4.5346,385873.368,64938.50365,73692653.41,6770146.863,10.88494163,,,,
SUSHI3L-USDT,1643871600,1.4334,147036301.2,0.0383,385395.6032,7638213.43,34898809.14,147036301.2,0.237348252,,,,
H3RO3S-USDT,1643871600,0.1452,889677601.2,0.01,384871.2014,8256468.967,65760506.67,889677601.2,0.073914985,,,,
EWT-USDT,1643871600,14.736,8622719.88,5.227,377561.2293,64276.98659,83739944.53,8622719.88,9.711546437,,,,
ADX-USDT,1643871600,0.886,10265897.23,0.3718,375015.1818,855042.8063,5278162.438,10265897.23,0.514145264,,,,
ADS-USDT,1643871600,0.47,40554260.16,0.1919,374755.446,1838091.85,13038125.92,40554260.16,0.321498306,,,,
VXV-USDT,1643871600,8.21,14277250.91,1.93,373025.3155,139902.2072,63112734.58,14277250.91,4.420510292,,,,
EQZ-USDT,1643871600,0.3936,103126353.1,0.102,372511.834,3088621.181,19853904.21,103126353.1,0.192520182,,,,
XHV-USDT,1643871600,9.376,9433592.471,1.604,366963.9285,206166.5798,35231380.51,9433592.471,3.734672726,,,,
DFYN-USDT,1643871600,0.4896,121980355,0.1185,366232.3653,2980197.721,30659496.87,121980355,0.251347825,,,,
TIME-USDT,1643871600,524.017,152204.3814,148,365177.7993,1353.449726,49282423.7,152204.3814,323.7910976,,,,
LSS-USDT,1643871600,1.23343,83276403.89,0.52665,365046.2042,615529.0276,69527934.61,83276403.89,0.834905584,,,,
EXRD-USDT,1643871600,0.4519,348665552,0.141,361607.9907,2152996.481,90475240.92,348665552,0.259490048,,,,
ALEPH-USDT,1643871600,0.867021,71541088.04,0.345001,356763.054,682843.7322,39365976.05,71541088.04,0.550256882,,,,
DOT3S-USDT,1643871600,6.57,5177602.632,1.3972,350280.1617,87366.21104,15248844.71,5177602.632,2.94515547,,,,
DERO-USDT,1643871600,18.48223,2143678.471,6.02576,349381.5399,46352.21536,20372781.98,2143678.471,9.503655633,,,,
MODEFI-USDT,1643871600,1.3971,17367490.47,0.5534,349168.9914,553263.6937,14301318.43,17367490.47,0.823453363,,,,
LTC3L-USDT,1643871600,1.6365,94984481.22,0.076,343754.1721,3054590.895,25894877.95,94984481.22,0.272622197,,,,
HNT-USDT,1643871600,44.743,508796.8348,19.883,342506.678,13360.75071,15459501.58,508796.8348,30.38442955,,,,
ISP-USDT,1643871600,0.006857,5819561633,0.0025,340547.742,95024861.82,27280125.41,5819561633,0.00468766,,,,
IOST-USDT,1643871600,0.0406,960448116.6,0.01333,340290.2383,13203604,28082818.44,960448116.6,0.029239287,,,,
LINK3S-USDT,1643871600,10.3458,8306510.398,0.9814,340167.1135,88799.42802,20106666.06,8306510.398,2.42059121,,,,
COMP-USDT,1643871600,273.82,383380.3891,75,338798.3824,2728.850881,75874808.02,383380.3891,197.9099875,,,,
WHALE-USDT,1643871600,15.86,1335913.987,7.01,336072.8768,45553.2282,13937130.94,1335913.987,10.4326559,,,,
OMG-USDT,1643871600,8.213,9446262.906,3.692,330334.8383,70082.80318,55736591.59,9446262.906,5.900385385,,,,
OPCT-USDT,1643871600,0.4784,94647290.14,0.14,330129.1758,1530974.074,27359594.74,94647290.14,0.289068971,,,,
TVK-USDT,1643871600,0.3781,179424483.3,0.0961,326227.681,2582093.559,36502588.57,179424483.3,0.203442629,,,,
IOTA-USDT,1643871600,1.448,11900665.07,0.7,320321.703,368295.6363,12728026.4,11900665.07,1.069522276,,,,
BEPRO-USDT,1643871600,0.01315063,9078711676,0.00231424,318747.1017,109426344.8,51711054.82,9078711676,0.005695858,,,,
CAS-USDT,1643871600,0.02084,590371060.5,0.013,316202.6227,23737687.43,9312778.075,590371060.5,0.015774449,,,,
MHC-USDT,1643871600,0.011027,842593933.3,0.004578,315511.1321,45802474.7,6111843.272,842593933.3,0.007253605,,,,
SUSHI3S-USDT,1643871600,95.359,2899383.961,2.7082,306645.2018,11763.54193,23144697.63,2899383.961,7.982625943,,,,
WRX-USDT,1643871600,1.5974,11645734.77,0.6822,301668.9113,316001.375,13114256.29,11645734.77,1.126099517,,,,
CERE-USDT,1643871600,0.15,1177184646,0.0299,299641.3621,8684499.732,86119654.04,1177184646,0.073157303,,,,
AXS3S-USDT,1643871600,7.6184,2442324.314,1.2403,299340.5966,69246.60578,7776618.599,2442324.314,3.18410563,,,,
SKU-USDT,1643871600,0.2197,51953208.38,0.0798,296905.5558,3107754.303,5505778.644,51953208.38,0.10597572,,,,
DIVI-USDT,1643871600,0.15216,267716914.8,0.0501,293271.5883,4231547.816,22834879.72,267716914.8,0.085294871,,,,
XPRT-USDT,1643871600,7.786,6115966.548,3,289415.9096,91039.2375,29206515.59,6115966.548,4.775453783,,,,
ABBC-USDT,1643871600,0.2427,185170349.9,0.1195,277840.7701,2256046.57,29602842.28,185170349.9,0.159868155,,,,
DPR-USDT,1643871600,0.1666,394371515.8,0.076,277676.8057,2687024.535,45431058.8,394371515.8,0.115198631,,,,
AAVE3L-USDT,1643871600,3.0642,21290829.44,0.1309,276914.8337,1392110.743,15750536.96,21290829.44,0.739780336,,,,
DGB-USDT,1643871600,0.050717,1094632398,0.017515,275570.6792,12797883.19,34296826.57,1094632398,0.031331821,,,,
NUM-USDT,1643871600,1.9101,94264623.17,0.36,274707.5937,583829.6511,92617582.47,94264623.17,0.982527478,,,,
CTSI-USDT,1643871600,1.1137,85980325.48,0.0009,272959.7061,634870.6855,60636569.16,85980325.48,0.705237725,,,,
ALBT-USDT,1643871600,0.76999,98076016.04,0.31014,272756.9165,750426.4264,51559950.94,98076016.04,0.525714166,,,,
IXS-USDT,1643871600,0.335,74966859.87,0.1022,271357.1986,877355.4126,15350730.55,74966859.87,0.204766887,,,,
MNET-USDT,1643871600,0.5869,827277819.7,0.0135,267840.5434,17510045.62,120304686.8,827277819.7,0.145422353,,,,
MONI-USDT,1643871600,1.8563,21725488.74,0.3778,267306.8328,649631.5639,20054044.27,21725488.74,0.923065276,,,,
ODDZ-USDT,1643871600,0.57879,41116374.66,0.13732,266723.8306,1504292.913,9115447.137,41116374.66,0.221698708,,,,
FXS-USDT,1643871600,41.954,1364712.408,13.378,263522.6665,12853.8026,38262301.52,1364712.408,28.03689723,,,,
KONO-USDT,1643871600,0.5339,26686082.74,0.1255,261002.947,1551831.399,7119805.778,26686082.74,0.26679846,,,,
LTC3S-USDT,1643871600,2.3483,21205571.25,0.5116,260076.9534,148316.1761,23105319.09,21205571.25,1.089587204,,,,
STORJ-USDT,1643871600,2.4404,15875644.31,0.928,259541.1444,223003.069,26400807.06,15875644.31,1.66297547,,,,
CUDOS-USDT,1643871600,0.05001,612705679.2,0.0238,258924.8971,9569135.815,21640240.64,612705679.2,0.035319145,,,,
REQ-USDT,1643871600,0.6474,280131619,0.2021,253250.8128,1124486.563,122007839.1,280131619,0.43553755,,,,
ORAI-USDT,1643871600,11.964,1436299.779,3.871,249336.1928,53102.28872,10015121.8,1436299.779,6.972863149,,,,
OGN-USDT,1643871600,1.055,50345382.57,0.2724,248711.596,770999.4145,28966517.81,50345382.57,0.575355998,,,,
BUX-USDT,1643871600,0.6049,23632547.75,0.3542,247667.873,538753.3706,10283816.23,23632547.75,0.435154785,,,,
CUSD-USDT,1643871600,1.0091,46207786.68,0.964,246537.4522,248108.1509,45950085.73,46207786.68,0.994422997,,,,
AAVE3S-USDT,1643871600,52.2503,920055.6286,4.7362,244168.361,15036.5481,9915055.099,920055.6286,10.77658219,,,,
DSLA-USDT,1643871600,0.00749,3193076611,0.00263,243734.1062,72629064.13,13783203.23,3193076611,0.00431659,,,,
MXC-USDT,1643871600,0.1216,317733000.5,0.03256,242506.9479,2895964.548,23376639.73,317733000.5,0.073573219,,,,
PAXG-USDT,1643871600,1864.43,6279.360559,1744.5,242235.69,133.8982268,11387823.42,6279.360559,1813.532336,,,,
SKEY-USDT,1643871600,0.1685,213172443.8,0.0471,237947.9055,3682032.172,22422930.81,213172443.8,0.105186817,,,,
MXW-USDT,1643868000,0.0179,1336089587,0.0061,235183.4053,36180735.63,13170351.89,1336089587,0.009857387,,,,
SCLP-USDT,1643871600,4.8871,37349381.8,0.8839,234734.9829,250831.84,95663613.55,37349381.8,2.561317187,,,,
HYDRA-USDT,1643871600,11.738,3234953.858,6.225,232925.7718,26252.35548,27406391.2,3234953.858,8.471957377,,,,
AUDIO-USDT,1643871600,2.325,20117527.74,0.7628,230939.5903,248654.3605,30292668.36,20117527.74,1.505784844,,,,
OCEAN-USDT,1643871600,1.0284,28329206.31,0.5074,230489.829,419400.903,21509845.89,28329206.31,0.759281628,,,,
ROSN-USDT,1643871600,0.4779,51098633.56,0.1373,228909.3668,1334336.623,13699161.67,51098633.56,0.268092524,,,,
AXS3L-USDT,1643871600,11.75,8248632.807,0.2674,228649.6105,566840.1994,8676640.187,8248632.807,1.051888281,,,,
KRL-USDT,1643864400,1.98323,17801362.44,0.77295,228300.8372,277010.3872,23286227.38,17801362.44,1.308114896,,,,
CWEB-USDT,1643871600,0.20998,544164373.4,0.013,224997.1865,5760098.358,59726431.8,544164373.4,0.109758071,,,,
YLD-USDT,1643871600,0.444,40225402.61,0.2305,224765.7212,897041.9503,11975085.76,40225402.61,0.297699587,,,,
CLV-USDT,1643871600,1.1365,62603636.36,0.3117,224739.2582,674948.5787,41772122.49,62603636.36,0.667247542,,,,
TARA-USDT,1643871600,0.01932,3043073348,0.00506,224595.3607,32003871.36,32208949.36,3043073348,0.010584349,,,,
SKL-USDT,1643871600,0.337,247961558.8,0.0926,224057.5277,2003477.211,39019925.5,247961558.8,0.157362801,,,,
DOGE3L-USDT,1643871600,1.4157,73488059.57,0.12,222639.5266,1188667.672,30346946.74,73488059.57,0.412950715,,,,
OXT-USDT,1643871600,0.5199,34872426.23,0.2041,221357.2116,932006.5422,11750021.9,34872426.23,0.336943057,,,,
FRONT-USDT,1643871600,1.0305,23771135.63,0.3696,218900.8916,436320.9796,15647605.29,23771135.63,0.658260738,,,,
GHX-USDT,1643871600,0.1085,614737743.1,0.0391,218362.6213,4053859.028,45427140.53,614737743.1,0.073896781,,,,
YOP-USDT,1643871600,0.4492,47367002.69,0.1513,217887.7508,940803.9074,12649823.23,47367002.69,0.26705982,,,,
PRE-USDT,1643871600,0.429,315229338.7,0.21,216963.8899,895053.0611,99507062.97,315229338.7,0.315665615,,,,
SENSO-USDT,1643871600,2.266123,33319434.09,0.810081,215682.2471,242586.0608,50505229.07,33319434.09,1.515788921,,,,
TXA-USDT,1643871600,3.6351,5939898.741,2.3781,215138.2883,88794.29103,16314386.73,5939898.741,2.746576574,,,,
KLV-USDT,1643871600,0.04067,1038788752,0.02117,211583.3511,9261914.517,32694964.65,1038788752,0.031474123,,,,
ERG-USDT,1643871600,7.256,6806981.374,2.82,209140.8425,60560.09633,32102224.09,6806981.374,4.716073444,,,,
HAKA-USDT,1643871600,0.3099,135725363.9,0.0768,206682.4103,2185058.165,22484503.05,135725363.9,0.165661763,,,,
AIOZ-USDT,1643871600,0.9365,86561516.2,0.162,204284.1209,1093821.957,37998776.84,86561516.2,0.438980028,,,,
MTRG-USDT,1643871600,9.12,3081655.77,2.62,201600.3225,68357.16694,15757536.95,3081655.77,5.11333456,,,,
POLS-USDT,1643871600,4.8421,13324125.94,1.3289,200768.0688,131314.6434,38769946.74,13324125.94,2.90975535,,,,
UNI3S-USDT,1643871600,31.7234,388094.2334,6.0086,200404.5115,8629.929648,5073023.913,388094.2334,13.0716292,,,,
GOVI-USDT,1643871600,1.6579,29297609.67,0.6926,200268.0109,225149.5643,32291957.82,29297609.67,1.102204521,,,,
GLCH-USDT,1643871600,1.7116,124658961.6,0.306,200102.9876,465863.8114,97014547.68,124658961.6,0.778239658,,,,
NOIA-USDT,1643871600,0.380598,111034945.9,0.116195,198177.2435,1535383.273,26112168.97,111034945.9,0.235170727,,,,
TCP-USDT,1643871600,0.1693,262623536.6,0.0339,196910.6416,4782152.775,20092186.12,262623536.6,0.076505657,,,,
DREAMS-USDT,1643871600,0.33957,906349570.9,0.02412,196644.2375,7755529.065,77474635.36,906349570.9,0.085479861,,,,
ETN-USDT,1643871600,0.0136326,1788709537,0.0063011,196149.5456,28572865.49,17367630.6,1788709537,0.009709587,,,,
CWS-USDT,1643871600,11.865,3723545.2,3.781,196002.7741,46969.63102,24754658.14,3723545.2,6.648142244,,,,
VAI-USDT,1643871600,0.4776,65381646.2,0.0751,193835.6937,2231905.242,12994452.8,65381646.2,0.198747715,,,,
NGM-USDT,1643871600,1.5287,8572685.321,0.6857,192896.8055,204302.8954,8442500.1,8572685.321,0.984813951,,,,
CEUR-USDT,1643871600,1.1521,11009236.94,1.0851,192637.642,170120.9465,12406404.59,11009236.94,1.126908672,,,,
INJ-USDT,1643871600,12.882,2374556.17,3.76,190460.4756,45925.18135,17821915.6,2374556.17,7.505367033,,,,
DAPPT-USDT,1643871600,0.00615,6041394476,0.001826,188321.4911,77944807.16,22380580.13,6041394476,0.003704539,,,,
REEF-USDT,1643871600,0.02471,1030073655,0.00864,187464.7566,18788164.65,16759334.88,1030073655,0.016270035,,,,
XCUR-USDT,1643871600,4.104,15005370.23,1.322,187149.2453,98461.86621,33885945.12,15005370.23,2.258254519,,,,
TOKO-USDT,1643871600,0.058198,1147763342,0.018002,186018.8765,9576258.78,38957249.55,1147763342,0.033941883,,,,
GTC-USDT,1643871600,18.4252,3456611.012,5.8742,181361.0716,23079.66094,42701005.07,3456611.012,12.35343084,,,,
CGG-USDT,1643871600,2.2656,43637500.19,0.46,180651.5735,347538.0639,42456992.65,43637500.19,0.972947407,,,,
PMON-USDT,1643871600,11.9305,1631326.427,3.8099,179238.3654,39333.1046,10289864.98,1631326.427,6.307667681,,,,
NANO-USDT,1643871600,5.181932,12657694.5,1.916,174242.4126,81847.87931,40445206.94,12657694.5,3.195305981,,,,
GSPI-USDT,1643871600,7.018,967401.4519,2.12,170303.2885,71279.8443,3303106.14,967401.4519,3.41441098,,,,
CQT-USDT,1643871600,1.014,66383734.09,0.3402,169013.0635,433245.6382,38171388.35,66383734.09,0.575011166,,,,
EOS3S-USDT,1643871600,6.0199,5635942.356,1.5389,168968.2083,41937.7648,15315401.86,5635942.356,2.717451829,,,,
XTAG-USDT,1643871600,3.1517,46794346.18,0.3244,164738.7962,448886.0273,66055130.1,46794346.18,1.411604937,,,,
VELO-USDT,1643871600,0.200218,468349341.6,0.038648,163788.2315,2864834.48,40385436.25,468349341.6,0.086229301,,,,
LTO-USDT,1643871600,0.4831,149285983.5,0.1621,159563.0385,811819.704,53080506.49,149285983.5,0.35556256,,,,
IDEA-USDT,1643871600,0.3487,87367769.45,0.098,157365.145,1534057.922,15302415.12,87367769.45,0.175149431,,,,
EQX-USDT,1643871600,0.4298,140669064.5,0.1346,155930.3072,936874.3517,40024726.88,140669064.5,0.284531123,,,,
MAP-USDT,1643868000,0.036752,294399546.2,0.018223,153745.1502,6957491.948,7304251.349,294399546.2,0.024810675,,,,
KAR-USDT,1643871600,5.7349,7600367.898,1.6231,153353.4255,80327.79174,25308134.41,7600367.898,3.329856495,,,,
AVA-USDT,1643871600,2.369629,14389139.95,0.974955,150499.3116,132702.8926,21269456.69,14389139.95,1.478160388,,,,
ONT-USDT,1643871600,1.08325,24949909.89,0.406,149145.2666,298492.3448,16291749.48,24949909.89,0.652978289,,,,
REN-USDT,1643871600,0.9045,45969477.84,0.2431,148993.4879,473373.4034,23715271.34,45969477.84,0.515891684,,,,
TONE-USDT,1643871600,0.04633,375073547.8,0.01401,147723.0211,6848720.54,10343270.27,375073547.8,0.027576646,,,,
HYVE-USDT,1643871600,0.388,29319782.76,0.1343,146910.3767,970633.3465,7790073.821,29319782.76,0.265693436,,,,
DOGE3S-USDT,1643871600,11.2365,5452382.69,1.6393,145732.1584,30637.3431,24709612.68,5452382.69,4.531892584,,,,
EPIK-USDT,1643871600,0.6401,144629889.3,0.1121,140013.1121,975797.6709,45037563.49,144629889.3,0.311398728,,,,
WNCG-USDT,1643871600,3.0015,14650738.61,0.776,137537.8343,125762.0074,27360626.27,14650738.61,1.867525385,,,,
DIA-USDT,1643871600,2.0016,13551491.59,0.7103,136801.4286,149451.3716,16166010.73,13551491.59,1.192932204,,,,
TOMO-USDT,1643871600,3.186,9106734.08,0.95091,136472.0709,122790.9346,17293950.73,9106734.08,1.899028848,,,,
SHR-USDT,1643871600,0.028758,1434752291,0.0085,134614.3515,12243058,23634061.79,1434752291,0.016472573,,,,
PEL-USDT,1643871600,0.8599,94428335.46,0.088,133669.6198,1134278.559,35898404.01,94428335.46,0.380165592,,,,
BAND-USDT,1643871600,8.4609,2243270.432,2.9831,133568.5413,39290.80292,11397168.58,2243270.432,5.080603936,,,,
PRQ-USDT,1643871600,0.7426,37950011.75,0.305,133132.729,361310.8861,17412325.43,37950011.75,0.458822663,,,,
ARPA-USDT,1643871600,0.146999,420045122.8,0.04922,130815.3826,2158045.018,41010955.06,420045122.8,0.097634642,,,,
IOI-USDT,1643871600,4.4498,11072989.55,0.672,130537.6096,144244.5372,22016666.5,11072989.55,1.9883218,,,,
LINA-USDT,1643871600,0.05268,443990371.4,0.01975,130412.4228,5389064.467,17708670.47,443990371.4,0.039885258,,,,
ARX-USDT,1643871600,0.03655,1677158278,0.01247,127797.6633,9585725.3,35068615.16,1677158278,0.020909544,,,,
UMB-USDT,1643871600,0.4299,89305730.2,0.1422,127208.2151,809901.4977,24371406.12,89305730.2,0.272898571,,,,
FRM-USDT,1643871600,0.3341,54007600.86,0.0818,125528.5465,1327129.311,8513910.869,54007600.86,0.157642827,,,,
EOS3L-USDT,1643871600,0.1925,503912594.3,0.007898,125070.0657,9408706.467,19665186.22,503912594.3,0.039024994,,,,
DORA-USDT,1643871600,18.6481,1108199.181,6.1881,123129.3388,18241.74118,12330901.77,1108199.181,11.12697246,,,,
HARD-USDT,1643871600,1.4305,9558881.031,0.4801,120863.8897,211430.9573,8052143.2,9558881.031,0.842372991,,,,
DINO-USDT,1643871600,0.1523,114996673.3,0.0397,120731.6911,2713709.564,9665456.489,114996673.3,0.084049879,,,,
XEM-USDT,1643871600,0.170091,117211304.5,0.05,118929.378,1155261.483,14459962.93,117211304.5,0.123366624,,,,
XEC-USDT,1643871600,0.00012388,58267568196,6.38E-05,118015.1463,1491786284,5812044.747,58267568196,9.97E-05,,,,
ERN-USDT,1643871600,12.641,1844515.094,4.068,117812.2485,23763.86513,15517645.71,1844515.094,8.412859163,,,,
SLIM-USDT,1643871600,3.822,8434813.57,1.023,117800.9993,97826.33196,18798385.33,8434813.57,2.228666369,,,,
